resumoExpandidoEmCongresso	Filipe Roseiro Côgo	2014	A flexibilização curricular da disciplina Interação Humano-Computador (IHC) para enfrentar desafios emergentes	Simpósio Brasileiro de Fatores Humanos em Sistemas Computacionais, 2014, Foz do Iguaçu. Anais do XIII Simpósio Brasileiro de Fatores Humanos em Sistemas Computacionais	SILVA, J. V. ; CÔGO, F. R.	Qualis nao identificado	Simpósio Brasileiro de Fatores Humanos em Sistemas Computacionais, 2014, Foz do Iguaçu. Anais do XIII Simpósio Brasileiro de Fatores Humanos em Sistemas Computacionais
trabalhoCompletoEmCongresso	Frank Helbert Borsato	2014		A elaboração dos gráficos da Análise Rítmica por meio do softwere livre gnuplot	XI SBCGA (Simpósio Brasileiro de Climatologia Geográfica Aplicada e - V SPEC - Simpósio Paranaense de Climatologia	BORSATO, V. A. ; BORSATO, Frank Helbert	Qualis nao identificado	XI SBCGA (Simpósio Brasileiro de Climatologia Geográfica Aplicada e - V SPEC - Simpósio Paranaense de Climatologia
trabalhoCompletoEmCongresso	Frank Helbert Borsato	2012	http://dx.doi.org/10.1109/SBSC.2012.18	May Social Behavior Reveal Preferences on Different Contexts? Recommending Movie Titles Based on Tweets	2012 Brazilian Symposium on Collaborative Systems (SBSC)	BORSATO, FRANK HELBERT ; POLATO, IVANILTON	B4	SBSC
artigoEmPeriodico	Igor Fabio Steinmacher	2014		Comparing communication and development networks for predicting file change proneness: An exploratory study considering process and social metrics	Electronic Communications of the EASST	WIESE, IGOR S. ; NASSIF JUNIOR, D. ; RÉ, Reginaldo ; STEINMACHER, IGOR ; GEROSA, Marco Aurelio	B2	
artigoEmPeriodico	Igor Fabio Steinmacher	2014	http://dx.doi.org/10.5329/RESI.2014.1302005	HISTORICAL ANALYSIS OF MESSAGE CONTENTS TO RECOMMEND ISSUES TO OPEN SOURCE SOFTWARE CONTRIBUTORS	RESI : Revista Eletrônica de Sistemas de Informação	STEINMACHER, Igor Fábio ; WIESE, Igor Scaliante ; SCHWERZ, André Luís ; ROBERTO, Rafael Liberato ; FERREIRA, João Eduardo ; GEROSA, Marco Aurélio	B4	
artigoEmPeriodico	Igor Fabio Steinmacher	2013	http://dx.doi.org/10.1007/s10606-012-9164-4	Awareness Support in Distributed Software Development: A Systematic Review and Mapping of the Literature	Computer Supported Cooperative Work	STEINMACHER, Igor ; STEINMACHER, IGOR ; CHAVES, A. P. ; Gerosa, Marco Aurélio	B3	
trabalhoCompletoEmCongresso	Igor Fabio Steinmacher	2014		Onboarding, and Retaining Newcomer Developers in Open Source Software Projects. I	Workshop of Global Software Development in a CSCW perspective	STEINMACHER, Igor ; GEROSA, Marco Aurelio ; REDMILES, David F.	Qualis nao identificado	Workshop of Global Software Development in a CSCW perspective
trabalhoCompletoEmCongresso	Igor Fabio Steinmacher	2014		Barriers faced by newcomers to open source projects: a systematic review	The 10th IFIP WG 2.13 International Conference on Open Source Systems	STEINMACHER, Igor ; GRACIOTTO SILVA, M. A. ; GEROSA, Marco Aurelio	B2	International Conference on Open Source Systems
trabalhoCompletoEmCongresso	Igor Fabio Steinmacher	2014	http://dx.doi.org/10.1145/2593702.2593704	The hard life of open source software project newcomers	the 7th International Workshop	STEINMACHER, IGOR ; WIESE, Igor Scaliante ; CONTE, TAYANA ; Gerosa, Marco Aurélio ; REDMILES, DAVID	Qualis nao identificado	the 7th International Workshop
trabalhoCompletoEmCongresso	Igor Fabio Steinmacher	2014	http://dx.doi.org/10.1109/SBES.2014.9	Preliminary Empirical Identification of Barriers Faced by Newcomers to Open Source Software Projects	2014 Brazilian Symposium on Software Engineering (SBES)	STEINMACHER, IGOR ; CHAVES, Ana Paula ; CONTE, TAYANA UCHOA ; GEROSA, Marco Aurelio	B2	SBES
trabalhoCompletoEmCongresso	Igor Fabio Steinmacher	2014		Choosing an Appropriate Task to Start With In Open Source Software Communities: a Hard Task	International Conference on Collaboration and Technology (CRIWG 2014)	STEINMACHER, IGOR ; GEROSA, Marco Aurelio	B1	CRIWG
trabalhoCompletoEmCongresso	Igor Fabio Steinmacher	2014		Social Metrics included in Prediction Models on Software Engineering: A Mapping Study	PROMISE - The 10th International Conference on Predictive Models in Software Engineering	WIESE, IGOR S. ; COGO, Filipe R. ; RÉ, Reginaldo ; STEINMACHER, IGOR ; GEROSA, Marco Aurelio	Qualis nao identificado	PROMISE - The 10th International Conference on Predictive Models in Software Engineering
trabalhoCompletoEmCongresso	Igor Fabio Steinmacher	2014		Filtragem Colaborativa de Rotas de Ônibus Usando Dados sobre a Acessibilidade das Vias Urbanas	Simpósio Brasileiro de Sistemas Colaborativos (SBSC'14)	ANTONIO, Marlon F. ; COGO, Filipe R. ; STEINMACHER, IGOR ; CHAVES, Ana Paula	B4	Simpósio Brasileiro de Sistemas Colaborativos
trabalhoCompletoEmCongresso	Igor Fabio Steinmacher	2013	http://dx.doi.org/10.1109/CHASE.2013.6614728	Why do newcomers abandon open source software projects?	2013 6th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE)	STEINMACHER, IGOR ; WIESE, IGOR ; CHAVES, Ana Paula ; GEROSA, Marco Aurelio	Qualis nao identificado	2013 6th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE)
trabalhoCompletoEmCongresso	Igor Fabio Steinmacher	2013		Predizendo a Participação de Desenvolvedores em Discussões em Projetos de Software Livre	XIV Workshop de Software Livre (WSL 2013)	SCHWERZ, André Luís ; ROBERTO, Rafael Liberato ; WIESE, Igor Scaliante ; STEINMACHER, Igor Fábio ; GEROSA, Marco Aurélio ; FERREIRA, João Eduardo	Qualis nao identificado	XIV Workshop de Software Livre (WSL 2013)
trabalhoCompletoEmCongresso	Igor Fabio Steinmacher	2013	http://dx.doi.org/10.1145/2501543.2501547	What can commit metadata tell us about design degradation?	the 2013 International Workshop	OLIVA, GUSTAVO ANSALDI ; STEINMACHER, IGOR ; WIESE, IGOR ; Gerosa, Marco Aurélio	Qualis nao identificado	the 2013 International Workshop
trabalhoCompletoEmCongresso	Igor Fabio Steinmacher	2013		Uma abordagem para classificação de construção de software utilizando redes de comunicação e cooperação	WMSWM 2013 - X Workshop de Manutenção de Software Moderna	FONTOURA, VIdal Daniel ; WIESE, Igor Scaliante ; STEINMACHER, IGOR ; RÉ, Reginaldo ; SILVA, José Teodoro ; Gerosa, Marco Aurélio	Qualis nao identificado	WMSWM 2013 - X Workshop de Manutenção de Software Moderna
trabalhoCompletoEmCongresso	Igor Fabio Steinmacher	2013		Tópicos de pesquisa e rede de coautoria no Simpósio Brasileiro de Sistemas Colaborativos	Simpósio Brasileiro de Sistemas Colaborativos	STEINMACHER, Igor ; GRACIOTTO SILVA, M. A. ; COGO, Filipe R. ; CHAVES, Ana Paula ; GEROSA, Marco Aurelio	B4	
trabalhoCompletoEmCongresso	Igor Fabio Steinmacher	2012		The UbiBus Project: Using Context and Ubiquitous Computing to build Advanced Public Transportation Systems to Support Bus Passengers	VIII Simpósio Brasileiro de Sistemas de Informação (SBSI 2012)	VIEIRA, Vaninha ; FERRAZ, Carlos ; TEDESCO, Patrícia ; TIMES, Valéria C. ; SALGADO, Ana Carolina ; HUZITA, Elisa Hatsue Moriya ; CHAVES, Ana Paula ; STEINMACHER, Igor	B4	Simpósio Brasileiro de Sistemas de Informação
trabalhoCompletoEmCongresso	Igor Fabio Steinmacher	2012	http://dx.doi.org/10.1109/RSSE.2012.6233413	Recommending mentors to software project newcomers	2012 Third International Workshop on Recommendation Systems for Software Engineering (RSSE)	STEINMACHER, IGOR ; WIESE, Igor Scaliante ; GEROSA, Marco Aurelio	Qualis nao identificado	2012 Third International Workshop on Recommendation Systems for Software Engineering (RSSE)
trabalhoCompletoEmCongresso	Igor Fabio Steinmacher	2012	http://dx.doi.org/10.1109/SBSC.2012.16	Newcomers Withdrawal in Open Source Software Projects: Analysis of Hadoop Common Project	2012 Brazilian Symposium on Collaborative Systems (SBSC)	STEINMACHER, IGOR ; WIESE, IGOR S. ; CHAVES, Ana Paula ; GEROSA, Marco Aurelio	B4	SBSC
trabalhoCompletoEmCongresso	Igor Fabio Steinmacher	2012	http://dx.doi.org/10.1109/SBSC.2012.26	A Collective Intelligence Based System for Visualizing Problems in Public Roads	2012 Brazilian Symposium on Collaborative Systems (SBSC)	NISHI, MARCELO KOTI ; CHAVES, Ana Paula ; STEINMACHER, IGOR	B4	SBSC
trabalhoCompletoEmCongresso	Igor Fabio Steinmacher	2012	http://dx.doi.org/10.1109/ICGSEW.2012.9	An Extensible Service for Experts Recommendation on Distributed Software Development Projects	2012 Seventh IEEE International Conference on Global Software Engineering Workshop (ICGSEW)	SILVA, JOSE TEODORO DA ; GEROSA, Marco Aurelio ; WIESE, IGOR ; RÉ, Reginaldo ; STEINMACHER, IGOR	B2	IEEE International Conference on Global Software Engineering
