trabalhoCompletoEmCongresso	2015		Dico: A Conceptual Model to Support the Design and Evaluation of Advanced Search Features for Exploratory Search	TC13 International Conference on Human-Computer Interaction	DUARTE, E. F. ; OLIVEIRA JUNIOR, E. A. ; CÔGO, F. R. ; PEREIRA, R.	B1	IFIP TC13 International Conference on Human-Computer Interaction
trabalhoCompletoEmCongresso	2015		Checklist-based Inspection of SMarty Variability Models: Proposal and Empirical Feasibility Study	17th International Conference on Enterprise Information Systems (ICEIS)	GERALDI, Ricardo ; CONTE, Tayana U. ; STEINMACHER, IGOR ; OLIVEIRA JUNIOR, Edson Alves de	B1	International Conference on Enterprise Information Systems
trabalhoCompletoEmCongresso	2015		Improving Writer Identification Through Writer Selection	XX Iberoamerican Congress on Pattern Recognition	GONÇALVES, Diego Bertolini ; Oliveira, L.S. ; Sabaourin, R.	B2	Iberoamerican Congress on Pattern Recognition
trabalhoCompletoEmCongresso	2015		Oficina Internet das Coisas	5º Seminário de Extensão e Inovação da UTFPR	LOHNMANN, D. ; FONSECA, C. B. ; GRACIOTTO SILVA, MARCO AURELIO ; GONCALVES, P. C.	Qualis nao identificado	5º Seminário de Extensão e Inovação da UTFPR
trabalhoCompletoEmCongresso	2015		Participação de Mulheres em Projetos de Software Livre: Caso da Comunidade Brasileira da Mozilla Foundation	XVI Workshop Internacional de Software Livre (WSL 2015)	PRUDENCIO, Mariana M. V. ; COGO, Filipe R. ; CHAVES, Ana Paula ; STEINMACHER, IGOR	Qualis nao identificado	XVI Workshop Internacional de Software Livre (WSL 2015)
trabalhoCompletoEmCongresso	2015		Um estudo exploratório sobre contribuições casuais em projetos de software livre: caso do projeto LibreOffice	IX Workshop em Desenvolvimento Distribuído de Software	RAMOS, Felipse V. ; CHAVES, Ana Paula ; GEROSA, Marco Aurelio ; STEINMACHER, Igor	Qualis nao identificado	IX Workshop em Desenvolvimento Distribuído de Software
trabalhoCompletoEmCongresso	2015		Estabelecimento de subsídios para aplicação de teste de software em competições de programação	5º Seminário de Extensão e Inovação da UTFPR	RIGHETTO, G. ; GRACIOTTO SILVA, MARCO AURELIO	Qualis nao identificado	5º Seminário de Extensão e Inovação da UTFPR
trabalhoCompletoEmCongresso	2015		Abordagem Transacional para Padrões de Controle de Fluxo de Processos Científicos e de Negócios	XXX Simpósio Brasileiro de Banco de Dados	ROBERTO, Rafael Liberato ; SCHWERZ, André. Luís. ; PU, Calton. ; FERREIRA, João Eduardo	Qualis nao identificado	XXX Simpósio Brasileiro de Banco de Dados
trabalhoCompletoEmCongresso	2015		Um estudo exploratório sobre a predição cruzada de defeitos entre projetos: impacto do uso de diferentes algoritmos de classificação e uma medida de desempenho na construção de modelos de predição	Simposio Latinoamericano de Ingeniería de Software	SATIN, R. F. P. ; WIESE, I. S. ; RÉ, R.	Qualis nao identificado	Simposio Latinoamericano de Ingeniería de Software
trabalhoCompletoEmCongresso	2015		Pagamento Atrai Colaboradores de Longo Prazo ou Prestadores de Serviço? Uma Investigação Inicial sobre o Google Summer of Code 2014	Simpósio Brasileiro de SIstemas Colaborativos	SILVA, Jefferson O. ; SCALIANTE WIESE, IGOR ; STEINMACHER, I. ; GEROSA, M. A.	B4	Simpósio Brasileiro de Sistemas Colaborativos
